date,amount,description
2012-11-06,-2123.21,mortgage
2012-11-10,-43.34,groceries
2012-11-10,-57.16,gas bill
2012-11-17,-200.0,student loan
2012-11-18,1500.0,payday
2012-11-18,-40.89,gas
2012-11-23,-60.28,groceries
2012-11-24,-150.0,car payment
2012-12-01,-88.84,electric bill
2012-12-02,1500.0,payday
2012-12-02,-44.09,gas
2012-12-04,90.93,gambling
2012-12-06,-37.58,groceries
2012-12-06,-2123.21,mortgage
2012-12-10,-26.68,gas bill
2012-12-16,1500.0,payday
2012-12-16,-47.73,gas
2012-12-17,-200.0,student loan
2012-12-19,-53.94,groceries
2012-12-24,-150.0,car payment
2012-12-30,-44.25,gas
2012-12-30,1500.0,payday
2012-12-31,-55.4,electric bill
2013-01-01,-71.67,groceries
2013-01-05,-2123.21,mortgage
2013-01-09,-63.75,gas bill
2013-01-13,-46.75,gas
2013-01-13,1500.0,payday
2013-01-14,-56.14,groceries
2013-01-16,-200.0,student loan
2013-01-23,-150.0,car payment
2013-01-27,-98.33,groceries
2013-01-27,-44.47,gas
2013-01-27,1500.0,payday
2013-01-30,-86.83,electric bill
2013-02-02,2.9,gambling
2013-02-04,-2123.21,mortgage
2013-02-08,-70.41,gas bill
2013-02-09,-56.75,groceries
2013-02-10,-49.16,gas
2013-02-10,1500.0,payday
2013-02-15,-200.0,student loan
2013-02-22,-46.94,groceries
2013-02-22,-150.0,car payment
2013-02-24,-41.97,gas
2013-02-24,1500.0,payday
2013-03-01,-68.49,electric bill
2013-03-06,-2123.21,mortgage
2013-03-07,-84.75,groceries
2013-03-10,1500.0,payday
2013-03-10,-43.23,gas
2013-03-10,-38.0,gas bill
2013-03-17,-200.0,student loan
2013-03-20,-52.23,groceries
2013-03-24,1500.0,payday
2013-03-24,-150.0,car payment
2013-03-24,-48.83,gas
2013-03-31,-89.93,electric bill
2013-04-02,-45.53,groceries
2013-04-03,98.09,gambling
2013-04-05,-2123.21,mortgage
2013-04-07,1500.0,payday
2013-04-07,-43.31,gas
2013-04-09,-37.73,gas bill
2013-04-15,-98.7,groceries
2013-04-16,-200.0,student loan
2013-04-21,1500.0,payday
2013-04-21,-46.36,gas
2013-04-23,-150.0,car payment
2013-04-28,-66.11,groceries
2013-04-30,-95.62,electric bill
2013-05-05,-46.88,gas
2013-05-05,-2123.21,mortgage
2013-05-05,1500.0,payday
2013-05-09,-63.67,gas bill
2013-05-11,-34.79,groceries
2013-05-16,-200.0,student loan
2013-05-19,1500.0,payday
2013-05-19,-48.77,gas
2013-05-23,-150.0,car payment
2013-05-24,-73.1,groceries
2013-05-30,-62.57,electric bill
2013-06-02,-41.32,gas
2013-06-02,1500.0,payday
2013-06-02,-6.58,gambling
2013-06-04,-2123.21,mortgage
2013-06-06,-42.58,groceries
2013-06-08,-67.93,gas bill
2013-06-15,-200.0,student loan
2013-06-16,-44.81,gas
2013-06-16,1500.0,payday
2013-06-19,-99.47,groceries
2013-06-22,-150.0,car payment
2013-06-29,-70.8,electric bill
2013-06-30,1500.0,payday
2013-06-30,-42.86,gas
2013-07-02,-85.91,groceries
2013-07-04,-2123.21,mortgage
2013-07-08,-45.69,gas bill
2013-07-14,-48.39,gas
2013-07-14,1500.0,payday
2013-07-15,-200.0,student loan
2013-07-15,-45.05,groceries
2013-07-22,-150.0,car payment
2013-07-28,-45.53,gas
2013-07-28,-64.24,groceries
2013-07-28,1500.0,payday
2013-07-29,-77.7,electric bill
2013-08-01,31.98,gambling
2013-08-03,-2123.21,mortgage
2013-08-07,-62.56,gas bill
2013-08-10,-64.86,groceries
2013-08-11,-40.47,gas
2013-08-11,1500.0,payday
2013-08-14,-200.0,student loan
